,profile_name, subscriber , view , video ,country,category,since, last_subscriber_30 , last_view_30 , min_month_earnings , max_month_earnings , 2016_views , 2017_views , 2018_views , 2019_views , 2020_views , 2021_views , 2022_views , 2023_views , 2024_views , 2016_subscribers , 2017_subscribers , 2018_subscribers , 2019_subscribers , 2020_subscribers , 2021_subscribers , 2022_subscribers , 2023_subscribers , 2024_subscribers 
0,Rotana," 24,500,000.00 "," 24,034,368,999.00 "," 9,078.00 ",Saudi Arabia (SA),Music,2012," 200,000.00 "," 292,453,337.00 "," 110,000.00 "," 658,000.00 "," 2,599,146,119.00 "," 1,562,878,054.00 "," 2,107,864,788.00 "," 2,117,443,705.00 "," 2,193,280,884.00 "," 3,867,422,692.00 "," 2,912,861,124.00 "," 3,104,603,066.00 "," 3,568,868,567.00 "," 3,477,819.00 "," 1,850,288.00 "," 4,110,479.00 "," 3,361,414.00 "," 2,600,000.00 "," 3,100,000.00 "," 2,000,000.00 "," 2,000,000.00 "," 2,000,000.00 "
1,Mmoshaya," 23,200,000.00 "," 18,468,679,361.00 "," 1,240.00 ",Saudi Arabia (SA),People & Blogs,2010, -   ," 34,076,848.00 "," 12,800.00 "," 76,700.00 "," 454,580,517.00 "," 1,450,578,846.00 "," 2,928,599,244.00 "," 3,035,121,331.00 "," 2,349,528,954.00 "," 4,496,597,115.00 "," 2,047,368,285.00 "," 1,020,270,564.00 "," 686,034,505.00 "," 1,386,016.00 "," 2,323,147.00 "," 5,172,031.00 "," 5,418,806.00 "," 3,200,000.00 "," 3,500,000.00 "," 1,200,000.00 "," 600,000.00 "," 400,000.00 "
2,شبكة العاب العرب | Arab Games Network," 22,300,000.00 "," 10,024,125,023.00 "," 7,460.00 ",Saudi Arabia (SA),Gaming,2013," 100,000.00 "," 45,416,699.00 "," 17,000.00 "," 102,000.00 "," 22,399,237.00 "," 129,848,039.00 "," 465,587,480.00 "," 1,256,522,354.00 "," 2,299,925,691.00 "," 2,239,806,488.00 "," 1,703,639,572.00 "," 1,010,415,010.00 "," 895,981,152.00 "," 213,303.00 "," 785,578.00 "," 2,845,082.00 "," 3,916,037.00 "," 4,540,000.00 "," 3,300,000.00 "," 1,800,000.00 "," 2,400,000.00 "," 2,500,000.00 "
3,Katakit Baby Tv," 20,200,000.00 "," 8,517,744,618.00 ", 231.00 ,Saudi Arabia (SA),Music,2010," 200,000.00 "," 133,417,200.00 "," 50,000.00 "," 300,000.00 ", -   , -   , -   , -   , -   ," 4,224,521,614.00 "," 1,488,033,470.00 "," 1,306,130,437.00 "," 1,499,059,097.00 ", -   , -   , -   , -   , -   ," 10,800,000.00 "," 3,100,000.00 "," 3,000,000.00 "," 3,300,000.00 "
4,ماشا و الدب," 18,300,000.00 "," 10,158,387,659.00 "," 1,482.00 ",Saudi Arabia (SA),Shows,2017," 100,000.00 "," 82,126,847.00 "," 30,800.00 "," 185,000.00 ", -   ," 46,853,112.00 "," 393,684,395.00 "," 696,384,101.00 "," 541,672,202.00 "," 2,562,569,016.00 "," 2,542,744,712.00 "," 2,121,583,995.00 "," 1,252,896,126.00 ", -   ," 147,992.00 "," 1,406,619.00 "," 2,305,389.00 "," 1,300,000.00 "," 4,200,000.00 "," 3,740,000.00 "," 3,400,000.00 "," 1,800,000.00 "
5,قناة وناسة    Wanasah Tv," 18,100,000.00 "," 10,219,433,723.00 ", 233.00 ,Saudi Arabia (SA),general,2014," 300,000.00 "," 122,245,986.00 "," 45,800.00 "," 275,000.00 ", -   , -   , -   , -   , -   , -   , -   , -   ," 10,219,433,723.00 ", -   , -   , -   , -   , -   , -   , -   , -   ," 18,100,000.00 "
6,Banderita X," 18,000,000.00 "," 5,470,017,529.00 "," 1,887.00 ",Saudi Arabia (SA),Gaming,2013," 200,000.00 "," 62,773,474.00 "," 23,500.00 "," 141,000.00 ", -   ," 29,175,086.00 "," 324,273,326.00 "," 697,212,218.00 "," 506,698,285.00 "," 1,247,328,267.00 "," 752,264,348.00 "," 768,565,951.00 "," 1,144,500,048.00 ", -   ," 234,606.00 "," 2,432,581.00 "," 2,852,813.00 "," 1,720,000.00 "," 3,660,000.00 "," 1,400,000.00 "," 1,400,000.00 "," 4,300,000.00 "
7,حقائق وأسرار," 14,800,000.00 "," 2,269,668,104.00 "," 1,544.00 ",Saudi Arabia (SA),Entertainment,2016, -   ," 3,796,136.00 "," 1,420.00 "," 8,540.00 "," 22,530,013.00 "," 318,934,535.00 "," 509,838,825.00 "," 581,759,767.00 "," 176,822,920.00 "," 462,003,573.00 "," 120,143,687.00 "," 55,194,611.00 "," 22,440,173.00 "," 217,890.00 "," 1,412,537.00 "," 4,677,686.00 "," 4,391,887.00 "," 1,000,000.00 "," 2,400,000.00 "," 500,000.00 "," 100,000.00 "," 100,000.00 "
8,Fantom Pro," 13,500,000.00 "," 6,879,804,978.00 ", 622.00 ,Saudi Arabia (SA),Film & Animation,2016," 100,000.00 "," 40,297,803.00 "," 15,100.00 "," 90,700.00 ", -   , -   , -   , -   , -   , -   , -   ," 4,856,386,521.00 "," 2,023,418,457.00 ", -   , -   , -   , -   , -   , -   , -   ," 8,210,000.00 "," 5,290,000.00 "
9,روتانا خليجية," 11,800,000.00 "," 5,124,350,920.00 "," 24,785.00 ",Saudi Arabia (SA),Entertainment,2011," 100,000.00 "," 57,428,928.00 "," 21,500.00 "," 129,000.00 "," 588,706,140.00 "," 588,207,527.00 "," 1,082,030,826.00 "," 1,914,830,478.00 "," 3,072,173,513.00 "," 3,900,251,189.00 "," 1,980,579,496.00 "," 1,334,434,562.00 "," 3,192,515,785.00 "," 872,722.00 "," 782,601.00 "," 1,828,865.00 "," 2,405,812.00 "," 440,000.00 "," 1,170,000.00 "," 1,750,000.00 "," 1,250,000.00 "," 1,300,000.00 "
10,قناة سعود Saud Channel L," 11,200,000.00 "," 2,492,868,473.00 ", 437.00 ,Saudi Arabia (SA),Entertainment,2016," 100,000.00 "," 24,454,954.00 "," 9,170.00 "," 55,000.00 ", -   ," 168,046,299.00 "," 201,830,107.00 "," 301,019,435.00 "," 231,931,781.00 "," 492,285,040.00 "," 370,669,951.00 "," 366,236,675.00 "," 360,849,185.00 ", -   ," 1,176,561.00 "," 1,240,199.00 "," 2,053,240.00 "," 1,220,000.00 "," 2,160,000.00 "," 1,160,000.00 "," 990,000.00 "," 1,200,000.00 "
11,Mjrm Games," 10,000,000.00 "," 1,102,142,814.00 ", 531.00 ,Saudi Arabia (SA),People & Blogs,2012, -   ," 1,395,516.00 ", 523.00 ," 3,140.00 "," 277,147,942.00 "," 150,920,865.00 "," 132,303,925.00 "," 158,909,512.00 "," 123,776,645.00 "," 70,487,849.00 "," 48,305,383.00 "," 53,332,208.00 "," 86,958,485.00 "," 2,715,879.00 "," 1,394,108.00 "," 1,336,012.00 "," 1,434,001.00 "," 860,000.00 "," 670,000.00 "," 210,000.00 "," 160,000.00 "," 1,220,000.00 "
12,Barry Tube," 10,000,000.00 "," 1,109,812,347.00 ", 198.00 ,Saudi Arabia (SA),Entertainment,2015, -   ," 4,814,878.00 "," 1,810.00 "," 10,800.00 "," 9,359,446.00 "," 84,592,171.00 "," 116,361,301.00 "," 179,576,242.00 "," 51,559,739.00 "," 263,124,480.00 "," 195,166,930.00 "," 101,680,739.00 "," 108,391,299.00 "," 183,098.00 "," 1,016,965.00 "," 1,173,402.00 "," 1,376,535.00 "," 400,000.00 "," 3,250,000.00 "," 1,140,000.00 "," 750,000.00 "," 710,000.00 "
