,profile_name,subscriber,view,video,country,category,since,last_subscriber_30,last_view_30,min_month_earnings,max_month_earnings,2016_views,2017_views,2018_views,2019_views,2020_views,2021_views,2022_views,2023_views,2024_views,2016_subscribers,2017_subscribers,2018_subscribers,2019_subscribers,2020_subscribers,2021_subscribers,2022_subscribers,2023_subscribers,2024_subscribers
0,Rotana,24500000,24034368999,9078,Saudi Arabia (SA),Music,2012,200000,292453337,110000,658000,2599146119,1562878054,2107864788,2117443705,2193280884,3867422692,2912861124,3104603066,3568868567,3477819,1850288,4110479,3361414,2600000,3100000,2000000,2000000,2000000
1,Mmoshaya,23200000,18468679361,1240,Saudi Arabia (SA),People & Blogs,2010,0,34076848,12800,76700,454580517,1450578846,2928599244,3035121331,2349528954,4496597115,2047368285,1020270564,686034505,1386016,2323147,5172031,5418806,3200000,3500000,1200000,600000,400000
2,شبكة العاب العرب | Arab Games Network,22300000,10024125023,7460,Saudi Arabia (SA),Gaming,2013,100000,45416699,17000,102000,22399237,129848039,465587480,1256522354,2299925691,2239806488,1703639572,1010415010,895981152,213303,785578,2845082,3916037,4540000,3300000,1800000,2400000,2500000
3,Katakit Baby Tv,20200000,8517744618,231,Saudi Arabia (SA),Music,2010,200000,133417200,50000,300000,0,0,0,0,0,4224521614,1488033470,1306130437,1499059097,0,0,0,0,0,10800000,3100000,3000000,3300000
4,ماشا و الدب,18300000,10158387659,1482,Saudi Arabia (SA),Shows,2017,100000,82126847,30800,185000,0,46853112,393684395,696384101,541672202,2562569016,2542744712,2121583995,1252896126,0,147992,1406619,2305389,1300000,4200000,3740000,3400000,1800000
5,قناة وناسة    Wanasah Tv,18100000,10219433723,233,Saudi Arabia (SA),general,2014,300000,122245986,45800,275000,0,0,0,0,0,0,0,0,10219433723,0,0,0,0,0,0,0,0,18100000
6,Banderita X,18000000,5470017529,1887,Saudi Arabia (SA),Gaming,2013,200000,62773474,23500,141000,0,29175086,324273326,697212218,506698285,1247328267,752264348,768565951,1144500048,0,234606,2432581,2852813,1720000,3660000,1400000,1400000,4300000
7,حقائق وأسرار,14800000,2269668104,1544,Saudi Arabia (SA),Entertainment,2016,0,3796136,1420,8540,22530013,318934535,509838825,581759767,176822920,462003573,120143687,55194611,22440173,217890,1412537,4677686,4391887,1000000,2400000,500000,100000,100000
8,Fantom Pro,13500000,6879804978,622,Saudi Arabia (SA),Film & Animation,2016,100000,40297803,15100,90700,0,0,0,0,0,0,0,4856386521,2023418457,0,0,0,0,0,0,0,8210000,5290000
9,روتانا خليجية,11800000,5124350920,24785,Saudi Arabia (SA),Entertainment,2011,100000,57428928,21500,129000,588706140,588207527,1082030826,1914830478,3072173513,3900251189,1980579496,1334434562,3192515785,872722,782601,1828865,2405812,440000,1170000,1750000,1250000,1300000
10,قناة سعود Saud Channel L,11200000,2492868473,437,Saudi Arabia (SA),Entertainment,2016,100000,24454954,9170,55000,0,168046299,201830107,301019435,231931781,492285040,370669951,366236675,360849185,0,1176561,1240199,2053240,1220000,2160000,1160000,990000,1200000
11,Mjrm Games,10000000,1102142814,531,Saudi Arabia (SA),People & Blogs,2012,0,1395516,523,3140,277147942,150920865,132303925,158909512,123776645,70487849,48305383,53332208,86958485,2715879,1394108,1336012,1434001,860000,670000,210000,160000,1220000
12,Barry Tube,10000000,1109812347,198,Saudi Arabia (SA),Entertainment,2015,0,4814878,1810,10800,9359446,84592171,116361301,179576242,51559739,263124480,195166930,101680739,108391299,183098,1016965,1173402,1376535,400000,3250000,1140000,750000,710000
13,Mbc1,9960000,7902262149,61626,Saudi Arabia (SA),Entertainment,2015,50000,36712322,13800,82600,0,270350758,395617518,805179875,931534795,1883518027,1492012677,1062207541,1061840958,0,474651,949764,1315585,1510000,1810000,1220000,1230000,1450000
14,Monti مونتي,9970000,1769138569,638,Saudi Arabia (SA),Entertainment,2021,80000,11749484,4410,26400,0,0,0,0,0,0,0,0,1769138569,0,0,0,0,0,0,0,0,9970000
15, Ossy Marwah I اوسي مروة,9590000,1085551462,286,Saudi Arabia (SA),People & Blogs,2019,840000,44986685,16900,101000,0,0,0,34254856,121877878,229537967,152652764,201728262,345499735,0,0,0,870000,1530000,1950000,1440000,1120000,2680000
16,انيينكم | Aninnkm,9610000,1959113517,655,Saudi Arabia (SA),People & Blogs,2015,130000,29739196,11200,66900,76535486,127711969,159207822,176839337,126720990,170306907,117957037,409774070,594059899,987215,941028,986097,1035660,820000,680000,260000,1820000,2080000
17,123 Go! Arabic,9530000,4391650447,866,Saudi Arabia (SA),People & Blogs,2019,20000,8728050,3270,19600,0,0,0,618382528,1606784800,894418690,749700803,341088104,181275522,0,0,0,2250000,3680000,1620000,1200000,460000,320000
18,محمد عدنان Mohamad Adnan,9400000,1037709509,375,Saudi Arabia (SA),Sports,2020,150000,22123135,8300,49800,0,0,0,0,0,185459417,380081535,264358985,207809572,0,0,0,0,0,2480000,3870000,1850000,1200000
19,عصومي ووليد   Assomi & Waleed,9360000,2169896065,560,Saudi Arabia (SA),Entertainment,2016,20000,9700367,3640,21800,0,134078713,153031208,121329944,297050873,717406970,372891137,202305928,171801292,0,939003,934368,856629,1940000,3070000,890000,360000,370000
20,هل تعلم؟,9290000,1125980812,2753,Saudi Arabia (SA),Education,2015,10000,2786208,1040,6270,206338732,362187716,179974226,180192082,133971254,152099212,72386158,58883265,47890675,2111507,2358462,1883641,1226390,270000,870000,290000,130000,150000
21,انت تستطيع,9280000,5123298669,929,Saudi Arabia (SA),Entertainment,2019,70000,45299232,17000,102000,0,0,0,0,0,1169842159,1263701557,1570905872,1118849081,0,0,0,0,0,3760000,1730000,2150000,1640000
22,Baby Bus Arabic Tv   أغاني أطفال ورسوم متحركة,9150000,5347968641,1102,Saudi Arabia (SA),Education,2017,30000,28972648,10900,65200,0,6760764,29027423,362172461,996198482,1720247828,919753423,644698403,669109857,0,4360,65502,1620138,2100000,2530000,1280000,730000,820000
23,Cartoons For Kids,9060000,3468376064,2665,Saudi Arabia (SA),People & Blogs,2017,10000,7508289,2820,16900,0,175702686,1611298516,730964156,401943386,1419750706,1733232425,113627032,121358569,0,365268,4470092,2234640,850000,600000,290000,120000,130000
24,S7 S,9050000,1988058575,636,Saudi Arabia (SA),Entertainment,2006,30000,14054125,5270,31600,0,392279,136139500,305123645,431988490,315063083,297083910,251846618,250421050,0,29897,1540462,1949641,2240000,1420000,840000,480000,550000
25,صالح   O Pii Lz,8940000,2628205984,1709,Saudi Arabia (SA),Gaming,2011,80000,24434215,9160,55000,0,68807629,210631271,325781906,85443090,889394928,411555117,320579501,316012542,0,652376,1407994,1259630,270000,2500000,840000,710000,1300000
26,متع عقلك,8880000,1565495127,3108,Saudi Arabia (SA),Entertainment,2014,0,1081721,405,2430,512117615,384926256,99269358,285730349,35301742,147162064,52753470,26357629,21876644,2445826,1414035,1693340,1866799,680000,440000,250000,40000,50000
27,The Saudi Reporters | سعودي ريبورترز,8880000,1765766745,403,Saudi Arabia (SA),Comedy,2010,10000,4053913,1520,9120,254875300,220557767,230224531,215016777,227082021,253618149,183009323,81665595,99717282,2030053,1336684,1189186,984077,1230000,1090000,690000,140000,190000
28,توبز Topz,8400000,1107446259,654,Saudi Arabia (SA),Entertainment,2012,40000,8865797,3320,19900,6034432,33592378,86420970,124842167,173429946,210726819,104678486,202951555,164769506,183194,582185,1145591,1229030,1670000,1640000,510000,680000,760000
29,قناة الشيخ كشك,8190000,1736993431,4312,Saudi Arabia (SA),Entertainment,2010,20000,3063299,1150,6890,333346799,253869666,272704122,218366499,113417885,180905842,181886441,127226306,55269871,936546,800716,1804838,1407900,710000,970000,750000,430000,380000
30,عمر عبدالرحمن | Omar Abdulrahman,8020000,1255299696,515,Saudi Arabia (SA),Entertainment,2012,190000,32469111,12200,73100,9167470,26372518,78562349,120121299,87823005,233200312,144587119,244598541,310867083,262928,463067,997484,1056521,580000,1500000,630000,870000,1660000
31,Saud Brothers,7870000,1656625291,202,Saudi Arabia (SA),People & Blogs,2017,10000,5551110,2080,12500,0,42165455,72791772,205498768,312224817,228917630,434188426,260375478,100462945,0,529903,624654,1655443,1760000,1050000,1380000,610000,260000
32,معلومة فى كتاب,7860000,1115180251,618,Saudi Arabia (SA),Entertainment,2013,10000,1943350,728,4370,0,115593320,196398998,53130429,192844088,334764182,119416951,67068221,35964062,0,592063,1335133,1402804,1530000,2070000,480000,290000,160000
33,D7oomy 999 | دحومي٩٩٩,7760000,1019833627,1188,Saudi Arabia (SA),Gaming,2008,50000,6127994,2300,13800,442603843,136610447,74703874,76641736,30883738,142112541,32664339,29812479,53800630,2633408,967321,567295,741976,220000,1240000,530000,160000,700000
34,عصابة بدر Badr Family,7480000,3231787860,1010,Saudi Arabia (SA),People & Blogs,2015,10000,3840440,1440,8640,0,0,418007286,582269773,634123566,961345301,292406753,252033718,91601463,0,0,1911863,1888137,1350000,1710000,350000,180000,90000
35,Lolo 7 لولو,7340000,923510147,780,Saudi Arabia (SA),People & Blogs,2016,20000,2291071,859,5150,1191240,125586159,270362046,230794676,251609071,300867565,100352822,63802513,40533407,8918,568637,577555,0,0,0,6580000,430000,330000
